Code,BMC,BMC+K,SymEx,CEGAR
update of recursion condition var (nondet bound),0,0,0,0.05454545454545454
decl of dd var,0.057692307692307696,0.01818181818181818,0.00909090909090909,0.045454545454545456
recursion call (nondet bound),0,0,0,0.01818181818181818
dd var update,0,0,0,0.00909090909090909
assert return,0.009615384615384616,0.00909090909090909,0.045454545454545456,0.00909090909090909
recursion function decl,0,0,0,0.00909090909090909
use of recursion condition var (nondet bound),0,0,0,0.00909090909090909
recursion condition (nondet bound),0,0,0,0.00909090909090909
assert condition,0.11538461538461539,0.18181818181818182,0.10909090909090909,0.11818181818181818
recursion function (small bound),0,0,0,0.00909090909090909
update of recursion condition var (small bound),0,0,0.05454545454545454,0.03636363636363636
id (1) function return,0,0,0,0.00909090909090909
assume condition,0.019230769230769232,0.045454545454545456,0,0.02727272727272727
error call,0.019230769230769232,0.05454545454545454,0.05454545454545454,0.02727272727272727
dd fun,0,0.00909090909090909,0.01818181818181818,0.01818181818181818
dd fun return,0.04807692307692308,0,0.09090909090909091,0.08181818181818182
update of dd var,0.08653846153846154,0.18181818181818182,0.11818181818181818,0.07272727272727272
id (1) fun,0,0,0,0.00909090909090909
loop condition (large bound),0.009615384615384616,0.02727272727272727,0,0.045454545454545456
decl of id (1) var,0.019230769230769232,0.00909090909090909,0.00909090909090909,0.00909090909090909
recursion call (small bound),0,0,0.02727272727272727,0.00909090909090909
recursion condition (small bound),0,0,0.01818181818181818,0.00909090909090909
update of id (1) var,0.1346153846153846,0.06363636363636363,0.045454545454545456,0.01818181818181818
use of dd var,0,0.00909090909090909,0,0.06363636363636363
return of recursion function (nondet bound),0,0,0,0.02727272727272727
update dd var,0,0,0,0.00909090909090909
conditional statement,0.009615384615384616,0.02727272727272727,0.00909090909090909,0.01818181818181818
input function,0,0,0.01818181818181818,0.00909090909090909
branch condition,0.019230769230769232,0.02727272727272727,0.1,0.06363636363636363
loop condition (nondet bound),0.009615384615384616,0.00909090909090909,0,0.00909090909090909
id (1) var update,0,0,0,0.02727272727272727
update loop condition var (nondet bound),0,0,0,0.00909090909090909
update of loop condition var (nondet bound),0,0.05454545454545454,0,0.00909090909090909
update of loop condition var (large bound),0.019230769230769232,0.06363636363636363,0,0.00909090909090909
dead code,0.019230769230769232,0.01818181818181818,0.00909090909090909,0.01818181818181818
type def,0.009615384615384616,0,0,0.00909090909090909
call of id (1) fun,0,0,0,0.00909090909090909
update loop condition var (infinite loop),0,0,0.06363636363636363,0.00909090909090909
assert call,0.009615384615384616,0.01818181818181818,0.045454545454545456,0.00909090909090909
input fun,0,0,0,0.00909090909090909
type fo id (1) var,0,0,0,0.00909090909090909
update of loop condition var (infinite loop),0,0,0,0.00909090909090909
decl of loop condition var (large bound),0.009615384615384616,0,0,0
loop header (large bound),0.009615384615384616,0.00909090909090909,0,0
update of loop condition var (small bound),0.038461538461538464,0.00909090909090909,0,0
return id (1) fun,0.009615384615384616,0,0,0
decl of id (2) var,0.009615384615384616,0,0.00909090909090909,0
update of id (2) var,0.04807692307692308,0.045454545454545456,0.00909090909090909,0
use of id (1) var,0.028846153846153848,0,0,0
dd function return,0.04807692307692308,0,0.02727272727272727,0
update loop condition car (nondet bound),0.019230769230769232,0,0,0
assert function,0.019230769230769232,0,0,0
loop header (small bound),0.009615384615384616,0,0.00909090909090909,0
use of loop condition var (small bound),0.009615384615384616,0,0,0
use of loop condition variable (small bound),0.038461538461538464,0,0,0
loop condition (small bound),0.038461538461538464,0.02727272727272727,0.01818181818181818,0
id (1) fun return,0.009615384615384616,0,0,0
error function,0.019230769230769232,0,0,0
dd var use,0.009615384615384616,0,0,0
type of dd var,0.009615384615384616,0,0,0
call of id (2) fun,0,0.00909090909090909,0,0
update of id (3) var,0,0.00909090909090909,0,0
update id (3) var,0,0.01818181818181818,0,0
dd fun call,0,0.00909090909090909,0,0
conditional branch,0,0.00909090909090909,0,0
use of loop condition var (large bound),0,0.00909090909090909,0,0
loop body (small bound),0,0.01818181818181818,0,0
loop condition (infinite loop),0,0,0.01818181818181818,0
error return,0,0,0.03636363636363636,0
recursion fun return (small bound),0,0,0.01818181818181818,0
assert fun,0,0,0.00909090909090909,0
